LOCAL_IDENTIFIER,)Nu,(pJ,0.W$x\,f-y:3,YyQHGbLt,ucN,!Uj,MINDSPIKE_VERSION,1d+,;NC,'uV^b,maT_r,"<(-""=dU",>23d,t[SP,CORRUCYSTIC_DENSITY
0,-0.37206429170650834,0.2420613081412477,0.18653368498921447,0.2420613081412477,0.6772161426388599,-0.08516221342584357,0.6772161426388599,kristal,0.3877461603601835,qou,1.1549137791270383,black corru,0.7142506615632626,-0.2590133293844564,-0.6432352011701852,241.34819081840877
1,0.4931248336369232,,-1.086023386822005,-0.802488239600372,-0.19889823054930067,-0.3168715001700261,-0.19889823054930067,karbon,-0.5947567729467186,kiv,-1.1697092032252105,,-0.16152884025643133,0.3458313875444345,0.7743756726819945,186.84990584482784
2,1.0700252808590056,-0.6987953814662309,-0.7270804328891778,-0.6987953814662309,-0.8251064415191987,-0.40888251236476436,-0.8251064415191987,kristal,0.17584956825180087,vel,0.28019434299360474,corro,-1.0278059385772524,-0.05543118889497048,-0.017610658030445193,24.92341293895308
3,0.08011990381879595,0.12875503561947388,-0.8980272263244584,,0.24829157799051416,-0.20257824442284827,0.24829157799051416,kristal,0.7047357740224836,tir,-0.46126705049830724,corro,-0.7660452024003999,-2.252793394731339,0.3359681734405766,32.113295979946045
4,0.4124473424816534,-2.431548632890281,-0.10934434030161627,-2.431548632890281,,-0.6287395708185239,0.31458657995668415,kristal,-3.1854523912132664,vel,,sfer,0.6161261089542494,0.19580783892409,2.5350497316839964,57.64389845055269
5,-0.725386770842957,1.5570141950929108,-2.473952238275274,1.5570141950929108,,0.4733536272914626,0.3108774261513745,kristal,1.5897616382945903,kiv,-0.20377748083509137,satik cyst,0.22570111879663354,-1.448338431118875,-0.31308159508980243,117.34178480912112
6,0.19651665816433692,-0.8827264624735366,-0.8591042740501407,-0.8827264624735366,0.22639620043206093,-0.3310197666312127,0.22639620043206093,kristal,-0.9212711406261056,qou,-0.32368275404118774,corrutir vel,-0.7245322690342489,-0.2665473042807473,-0.6507936550684602,141.26654297593092
7,-1.375759473684306,2.0256503361190124,1.4352399110785898,2.0256503361190124,-1.7727182641741672,2.229357746654821,-1.7727182641741672,,-1.420547216758163,tir,-0.7751727638380662,sfer,,-0.29611747781743786,0.006205773722817271,203.25232698116884
8,0.8242310293440719,-1.017957177721914,-2.3910785652839595,-1.017957177721914,-0.30972061017445585,-0.5275042384686056,-0.30972061017445585,,-0.37212288928812004,tir,0.9792597442869628,corroyi,-1.0198013336945937,-0.24965553821891934,0.2075422948887419,139.85563864224804
9,-1.0005023596253046,-0.1799136861192701,-1.1236720934723614,-0.1799136861192701,0.28176059977368473,,0.28176059977368473,,-2.265043659339348,kiv,0.10775943140524902,corroyi,0.21482780104351568,2.083122675570893,-0.8512485944316915,289.705605179575
